Specified Values,Specified Attribute Names,eventStatus,Fitness,Accuracy,Numerosity,Avg Match Set Size,TimeStamp GA,Iteration Initialized,Specificity,Deletion Probability,Correct Count,Match Count,Epoch Complete
"1, 1, 0","N25, N29, N45","0,59.41160049043395",0.9304665665119275,0.6453231363216215,1,314.63858860343004,49867,41471,0.03,0.0009495817083142709,1219,1404,True
"0, 0, 2, 1","N20, N84, M0P5, M0P6","79.07,87.1675",0.46766436586707893,0.7188676825429187,1,336.7260224180669,49929,41497,0.04,0.001016241755408547,79,197,True
0,N16,"0.9024999999999999,25.902822694684037",1.0,0.8869517351603472,1,322.28043064069055,49983,41508,0.01,0.0009726448470367617,6013,8492,True
"0, 0, 0, 0","N13, N89, M0P5, M0P6","71.19772643100195,87.1675",0.9868252164081763,0.7702124384013899,1,367.90581290153506,49998,41560,0.04,0.001110342605668495,264,522,True
"0, 0","N2, N65","0,25.965244385851314",1.0,0.9123817794444757,3,306.7696318337704,49983,41609,0.02,0.002777499406687295,4748,6359,True
"1, 0, 0","N84, M0P5, M0P6","75.51640363082996,87.1675",0.9891231513247969,0.7750199103654524,1,380.2621048004387,49944,41632,0.03,0.001147633990752158,231,476,True
"0, 0, 0","N33, M0P5, M0P6","63.95139104944798,87.1675",0.9804357093640035,0.7567445424446749,1,352.0415793487839,49944,41656,0.03,0.0010624642253815012,477,862,True
0,N58,"0.9024999999999999,36.5625",1.0,0.887823352671014,1,287.0805642270044,49951,41662,0.01,0.0008853347108343468,4095,5189,True
"1, 0, 0, 0, 2","N9, N65, N84, N90, M0P5","71.28057153281134,87.1675",1.0,0.8121156505429138,1,361.536839229803,49929,41725,0.05,0.0010911209935761694,133,246,True
"0, 0","N61, N65","0,50.1875",1.0,0.808595028740514,3,323.3352817751737,49983,41726,0.02,0.0029274851879023314,6615,7786,True
"0, 0, 0","N85, M0P5, M0P6","71.19772643100195,87.1675",0.9838278257442371,0.7639131740660247,1,362.03840874919456,49998,41736,0.03,0.0010926347342879374,318,624,True
"0, 0, 0, 2, 1","N65, N84, N88, M0P5, M0P6","70.8325,86.47639189065158",1.0,0.8119641001775393,2,352.7133248710485,49929,41750,0.05,0.002128983117187841,135,251,True
0,N7,"0.9024999999999999,42.88652033416547",1.0,0.8343640605706557,4,298.29510612654275,49983,41768,0.01,0.0037105667168508254,5541,6990,True
"1, 0","N19, N54","-7.63951760069841,36.5625",1.0,0.8725264138876159,1,320.5470196232686,49951,41809,0.02,0.0009674133991001294,3270,4254,True
"0, 1, 0, 0, 2","N5, N9, N28, N54, M0P5","79.07,89.0775",0.7947889151050543,0.5980154838851145,1,324.8486306987514,49945,41837,0.05,0.0009803956947927563,165,479,True
0,N65,"0.9024999999999999,50.1875",1.0,0.8061471176223882,5,311.06950318431046,49983,41874,0.01,0.0048791660817260355,7091,8376,True
"0, 0, 0","N2, N44, N47","0.9024999999999999,20.239046285116878",1.0,0.8938550942159811,1,311.9306641019965,49816,41923,0.03,0.0009414091711011119,1062,1575,True
"2, 1, 1, 2","N10, N20, N22, M0P5","79.07,87.1675",1.0,0.8798666499821057,1,333.1817037984182,49988,41945,0.04,0.001005544974239413,43,79,True
"0, 0, 0, 0, 0","N0, N61, N95, M0P5, M0P6","71.19772643100195,87.1675",1.0,0.8245657734804499,2,377.9892307415796,49998,41957,0.05,0.00228154887831882,297,531,True
"0, 2, 2","N32, M0P5, M0P6","81.90180536330581,99.0",1.0,0.9941850327987484,2,339.04081672713136,49988,41988,0.03,0.0020464556452851144,55,55,True
"0, 0","N54, N62","0,35.41681385414907",1.0,0.8652026394468342,1,301.0187155063507,49983,42018,0.02,0.0009379165220853592,6154,8122,True
"0, 0, 0","N0, N95, M0P6","71.19772643100195,87.1675",0.24856621465872963,0.18243577397681265,2,314.8267215204713,49998,42033,0.03,0.0019800147181152686,491,2201,True
"0, 0","N12, N16","81.90180536330581,87.1675",0.4538354564080383,0.2669983408311526,2,321.36691307278335,49998,42060,0.02,0.0019397756878191809,724,4900,True
1,N17,"0,50.1875",1.0,0.8012561914172432,1,295.5238353328549,49934,42095,0.01,0.0008918932342296249,2671,3147,True
"1, 0, 2, 0, 1, 0","N3, N19, N68, N70, N84, M0P6","82.85047247875899,109.10946613932475",1.0,0.9991620034917175,1,332.6599878898015,49700,42097,0.06,0.0010039704315682235,21,21,True
"0, 0, 0, 0","N53, N90, N95, M0P6","71.19772643100195,94.43870053166134",0.1257334142541635,0.2531850052467446,1,356.1117019918639,49944,42097,0.04,0.0010747478871841413,157,498,True
1,N97,"0,50.1875",1.0,0.8118935052813118,1,301.7888864959524,49951,42101,0.01,0.0009108012073823674,3354,3959,True
"0, 2, 0, 0, 0, 0","N0, N25, N28, N52, N84, N90","81.90180536330581,84.97672153230269",0.45027465828194835,0.7089056244332352,1,326.9104923342994,49831,42110,0.06,0.0009866184092502607,72,205,True
"1, 0, 0, 0","N72, N90, M0P5, M0P6","63.95139104944798,87.1675",1.0,0.8696327987228829,1,375.83345965403896,49998,42235,0.04,0.0011342683052451702,256,387,True
"0, 1, 2","N40, N81, M0P6","76.27000392788355,86.09619367955565",0.2710019081877436,0.40936122365650585,1,301.0089018805034,49837,42425,0.03,0.0009084472077446102,80,322,True
"0, 1, 2","N17, N55, M0P6","76.27000392788355,86.09619367955565",0.4091068655776186,0.42998859965857367,2,334.8388989581264,49988,42425,0.03,0.0020210928042490015,81,307,True
"0, 0, 0","N7, M0P5, M0P6","71.19772643100195,87.1675",0.9865578376544036,0.7696518384180243,1,372.6380169576591,49998,42432,0.03,0.0011246244343267394,388,759,True
"1, 2, 1","N78, M0P5, M0P6","81.90180536330581,87.1675",0.5603004828286563,0.7032311630148568,1,347.3122305425712,49929,42532,0.03,0.0010481910138897036,80,218,True
"0, 0, 1","N27, N35, N94","0,50.1875",1.0,0.8511089390244959,1,291.83107880634054,49867,42534,0.03,0.0008807484663027136,1459,1648,True
2,N78,"0,42.88652033416547",1.0,0.8163567404973503,1,291.6380298248688,49967,42552,0.01,0.0008801658429746979,1750,2201,True
"1, 2","N24, M0P5","81.90180536330581,90.07482482070454",0.5346761674082063,0.44605498117205966,1,344.61832523625606,49965,42555,0.02,0.001040060786716482,142,555,True
"0, 0","N25, N35","0,36.5625",1.0,0.8946007042920727,1,285.6343804192052,49926,42617,0.02,0.0008620467823596139,1133,1398,True
"0, 0, 0, 0","N2, N11, N44, M0P6","71.19772643100195,87.1675",0.12883449118261747,0.24700097365107798,1,337.3656929472834,49971,42621,0.04,0.0010181722860424017,197,812,True
"0, 0","N1, N25","0.9024999999999999,36.5625",1.0,0.8854039243553112,1,286.145040014154,49983,42633,0.02,0.0008635879569901351,2214,2790,True
"0, 1","N16, M0P5","-9.410708348576055,63.1175",1.0,0.8012705244631283,1,308.55011861562923,49983,42648,0.02,0.0009312066585223871,3466,3582,True
"0, 0","N65, N85","0,42.88652033416547",1.0,0.8385061963423497,1,309.5999978071614,49983,42681,0.02,0.0009702894930188504,4208,5271,True
1,N25,"0,78.85",0.7818393210737022,0.00861782413065336,2,307.3734864083591,49981,42738,0.01,0.001923779914227721,3531,3814,True
"0, 0, 1, 0, 0, 2, 2","N0, N3, N9, N27, N54, M0P5, M0P6","76.54308002857317,87.1675",1.0,0.9559125649071841,2,321.6157547637257,49950,42750,0.07,0.0019412777001377186,30,40,True
"0, 0, 0, 0","N0, N5, N95, M0P5","71.19772643100195,87.1675",0.22664602896600766,0.2560897769113442,1,323.51117156688053,49998,42798,0.04,0.0009763592327272493,454,1850,True
0,N54,"0,50.1875",0.9979304190986183,0.7932765087065555,2,301.0209375711023,49983,42843,0.01,0.001875849809692489,6422,7649,True
"0, 0, 0, 0","N21, N44, M0P5, M0P6","63.95139104944798,87.1675",1.0,0.8328967665604398,2,359.1232527808058,49971,42875,0.04,0.002167673541790466,245,395,True
1,N9,"79.07,85.95451690228161",0.4122753239065072,0.30463219591470103,1,324.3206098248397,49998,42985,0.01,0.0009788021236872536,662,3779,True
0,N23,"-7.63951760069841,31.0975",1.0,0.8881367761593444,1,298.1115325977811,49983,42996,0.01,0.0009269491462901851,2277,3051,True
0,N17,"0,35.41681385414907",1.0,0.855943279324471,1,299.73311744493833,49951,43026,0.01,0.0009330665908961331,3405,4553,True
"0, 0, 0, 0","N7, N90, M0P5, M0P6","63.95139104944798,87.1675",1.0,0.8339286159120698,2,376.98038124874654,49998,43035,0.04,0.0022754594470822476,389,626,True
"0, 2","N66, M0P5","79.07,89.0775",0.7097501750465741,0.4773014444293827,1,340.6415674116697,49965,43070,0.02,0.0010280589006624406,262,941,True
"1, 1, 0, 0, 2","N9, N31, N84, N90, M0P5","74.03656563042497,87.1675",0.35109688026074665,0.7875435769036271,1,289.0382616043984,49760,43073,0.05,0.0008723197222589487,35,75,True
"1, 0, 0, 2, 1","N0, N5, N7, M0P5, M0P6","83.40414461697321,85.6651607463326",0.29648779084729365,0.6698492302095235,1,336.81648437062023,49497,43097,0.05,0.001016514770285153,16,57,True
"0, 0, 1, 0, 0","N11, N85, N97, M0P5, M0P6","71.19772643100195,87.1675",1.0,0.8931876532215591,1,402.24949119175574,49944,43146,0.05,0.0012139920939444795,86,134,True
"0, 1, 1","N16, N63, N68","-9.410708348576055,63.1175",0.8999309667299541,0.5700870418705638,1,308.0069852876894,49981,43147,0.03,0.0009295674779130513,1137,1278,True
"2, 1, 0, 0, 1","N14, N36, N51, N52, N71","79.07,87.1675",1.0,0.9712269155676785,1,267.06475929579864,49646,43152,0.05,0.0008060035213362872,37,49,True
"0, 0, 0, 0, 0","N21, N28, N33, M0P5, M0P6","71.19772643100195,87.1675",0.898960789066847,0.699998472568425,1,343.6809016725746,49914,43160,0.05,0.0010372316351080738,160,355,True
1,N32,"0,42.88652033416547",1.0,0.8447776851508031,2,302.7712385721342,49967,43169,0.01,0.001827531907182097,2972,3689,True
"0, 0","M0P5, M0P6","66.09168467398428,87.1675",0.9830291391148852,0.7622291379777416,4,358.5463541569058,49998,43196,0.02,0.004328382745439973,448,828,True
2,M0P5,"70.8325,86.47639189065158",0.5385493604207091,0.35535401365869446,1,325.2810725099057,49988,43201,0.01,0.000981700807543246,345,1208,True
"1, 1, 0, 2","N9, N22, N51, M0P5","79.07,87.1675",0.7549103780408256,0.7951393957664614,2,334.9456265133317,49945,43219,0.04,0.002021737013432916,92,196,True
"1, 2","N22, M0P5","79.07,87.1675",0.7515454704522015,0.530817243805977,1,331.30175337910583,49988,43220,0.02,0.0009998712692477893,166,565,True
"0, 2, 2","N27, M0P5, M0P6","70.8325,89.0775",1.0,0.8972132801011778,1,328.2486256675088,49988,43220,0.03,0.0009906569060606529,93,141,True
"0, 1","N65, N77","0,36.5625",1.0,0.8691168693828255,1,321.40874067384897,49983,43221,0.02,0.0009700140799350279,1806,2357,True
0,N25,"0.9024999999999999,36.5625",1.0,0.8749174718704307,1,281.5909950698254,49983,43248,0.01,0.0008498438139173792,2312,2968,True
"0, 0","N17, N54","0,48.725145513595585",0.9965317045525826,0.7903945540833738,1,298.55394054511595,49967,43294,0.02,0.0009286181345739599,3431,4187,True
0,N28,"9.333162412653147,27.229337587346855",0.8081993662147894,0.2620056096189642,1,293.04356006077643,49934,43309,0.01,0.0009078301706078813,1555,5765,True
"0, 0","N4, N54","0,42.02724348807771",1.0,0.844869848005662,1,301.0209375708137,49983,43334,0.02,0.0009379249048451556,5606,7066,True
"0, 0, 0, 2, 1","N7, N65, N84, M0P5, M0P6","81.90180536330581,86.47639189065158",1.0,0.8192869061461077,2,363.20993157855054,49929,43350,0.05,0.0021923407986029183,99,213,True
0,N16,"0,78.85",0.7818381845856588,0.008447453022203396,1,322.28043064069055,49983,43380,0.01,0.0009726448470367617,6152,6777,True
"0, 0, 0","N61, N65, N66","0.9024999999999999,50.1875",1.0,0.8113008634259387,1,311.5779476583801,49983,43413,0.03,0.0009403446701301202,3903,4615,True
0,N16,"0,31.0975",1.0,0.8752859254103738,3,322.28043064069055,49983,43481,0.01,0.002917934541110285,4909,6684,True
"0, 0, 0, 0, 0","N11, N86, N89, M0P5, M0P6","71.19772643100195,87.1675",1.0,0.9301938591072715,1,391.7237370583442,49998,43514,0.05,0.001182225286078777,183,255,True
0,N66,"0.9024999999999999,36.5625",1.0,0.8623352647341104,1,294.574889890206,49983,43556,0.01,0.000889029309500852,4037,5292,True
"0, 0","N27, N35","0,50.1875",1.0,0.8161192355604988,1,304.8437810161504,49867,43572,0.02,0.0009523466189201583,2550,2970,True
"1, 0, 0, 2, 1","N34, N65, N84, M0P5, M0P6","76.22711362955607,83.63350552020766",1.0,0.8276310361924194,1,350.7853886118156,49497,43631,0.05,0.0010586730319640835,40,89,True
"2, 0, 0","N25, N28, N79","81.90180536330581,87.1675",0.5409155800263662,0.42843871942738176,1,289.06565256951774,49929,43660,0.03,0.0008724023884047825,136,634,True
0,N12,"81.9938065536327,87.07549880967312",0.4791040038140538,0.2690842815607663,1,309.5655657700641,49998,43660,0.01,0.0009701595978240464,634,4371,True
"1, 0, 2, 1, 0","N3, N19, N68, N84, M0P6","82.85047247875899,109.10946613932475",1.0,0.9980592833655894,2,337.4549036818099,49700,43697,0.05,0.0020368830494665365,34,35,True
"0, 2, 0, 2, 1","N65, N76, N84, M0P5, M0P6","81.90180536330581,86.47639189065158",1.0,0.8395779768033242,1,355.7560524705192,49929,43710,0.05,0.001073674534161746,17,35,True
"1, 0, 0","N26, N50, N54","0.9024999999999999,50.1875",1.0,0.827419578445369,1,308.84032020479884,49926,43718,0.03,0.0009320824891762885,1345,1574,True
"0, 0, 0, 0","N7, N90, M0P5, M0P6","71.19772643100195,87.1675",1.0,0.8074788656188562,2,376.98038124874654,49998,43736,0.04,0.0022754594470822476,307,565,True
"0, 1","N2, N14","0,36.5625",1.0,0.8972629823998051,2,291.382006568515,49983,43748,0.02,0.0017587863255902885,2088,2603,True
"0, 0, 0, 0","N0, N95, M0P5, M0P6","66.09168467398428,87.1675",1.0,0.8568920924346662,1,381.8466654476423,49998,43755,0.04,0.0011524162071134055,315,503,True
"0, 0, 1, 0","N0, N3, N9, N96","76.54308002857317,87.1675",0.28931045872787253,0.5282730373049572,1,319.6962876501156,49950,43816,0.04,0.0009648458833864024,98,332,True
0,N65,"-2.005176272414164,25.902822694684037",1.0,0.8890276350284523,2,311.06950318431046,49983,43825,0.01,0.0019516664326904142,4650,6546,True
"1, 0, 1, 2","N20, N41, N82, M0P5","79.07,89.0775",1.0,0.8040753700410186,1,355.8733274208867,49812,43870,0.04,0.001074028470874362,17,35,True
1,N15,"0,56.01542047902217",0.9575850526548774,0.7072550039068324,1,310.83384799036355,49981,43905,0.01,0.0009380989715429015,1244,1448,True
"0, 1","N56, M0P5","0.9024999999999999,63.1175",1.0,0.8135928077781377,1,299.64436404293895,49967,44003,0.02,0.0009327317678239562,1547,1612,True
"0, 1, 0, 2, 0, 2, 2","N5, N22, N33, N57, N74, M0P5, M0P6","79.07,87.1675",1.0,0.9987458242170276,1,330.0583728603232,49620,44020,0.07,0.00099611873716852,16,16,True
1,N55,"0,25.902822694684037",1.0,0.8935122246012844,1,303.2973336879516,49983,44039,0.01,0.0009465126313351996,2364,3294,True
"1, 2","N96, M0P6","81.90180536330581,99.0",0.1814209973333867,0.16449962683246197,2,314.6083539509283,49988,44046,0.02,0.0018989809197955858,112,491,True
0,N51,"0,36.5625",1.0,0.8620671256481565,1,301.28811088145187,49983,44094,0.01,0.0009389328187578208,4516,5905,True
"1, 0, 0, 0","N9, N32, N65, N84","81.90180536330581,87.1675",0.333801154483744,0.4689990959371461,1,325.3526318251011,49998,44125,0.04,0.000981916774113242,87,376,True
"0, 1","N65, M0P5","0,48.725145513595585",1.0,0.9299157058095855,1,299.3174661351196,49983,44126,0.02,0.0009314985422875986,2895,3116,True
"0, 2, 1","N84, M0P5, M0P6","79.07,87.1675",0.673307665071105,0.7699963264831672,1,351.09398760202714,49929,44150,0.03,0.0010596043861174627,111,257,True
"0, 0, 2, 1","N7, N65, M0P5, M0P6","81.90180536330581,86.47639189065158",0.8312673638811512,0.7065018091104048,1,354.2429644230949,49945,44160,0.04,0.001069108022662694,113,306,True
"2, 0","N32, N65","0,48.725145513595585",1.0,0.8325872884182433,1,314.0609348185052,49983,44209,0.02,0.0009478383446971828,1280,1507,True
"0, 1, 2","N44, N96, M0P5","81.90180536330581,92.93",0.6917777880469586,0.6295058820072998,1,336.5158040078244,49965,44212,0.03,0.001015607314610922,134,370,True
"0, 0","N7, N44","0.9024999999999999,42.88652033416547",1.0,0.8365603429158174,2,304.191458608432,49983,44224,0.02,0.001899771452586302,3045,3841,True
"0, 0","N61, N65","0,42.88652033416547",1.0,0.8423403904803686,2,323.3352817751737,49983,44267,0.02,0.0019516567919348876,4474,5599,True
0,N27,"0.9024999999999999,42.88652033416547",1.0,0.8319208440450355,2,300.74839476253584,49983,44282,0.01,0.0018737934689008519,4565,5763,True
"1, 0, 0, 2","N20, N47, N62, M0P5","79.07,87.1675",1.0,0.817827985122172,1,331.8176118506247,49945,44345,0.04,0.0010014281341282462,62,128,True
"0, 0, 1, 0, 2, 2","N0, N3, N9, N96, M0P5, M0P6","70.8325,87.1675",1.0,0.9121207947686,2,302.7945145258765,49950,44350,0.06,0.0018276724012010622,16,24,True
"1, 0, 2","N61, N65, M0P5","81.90180536330581,90.07482482070454",1.0,0.8558787945385739,2,328.65643998071056,49965,44365,0.03,0.0019837753856614365,47,88,True
"0, 0, 2, 1","N7, N31, M0P5, M0P6","81.90180536330581,88.86247386335",0.6412619760214543,0.7421260592662084,1,356.0957000975915,49965,44365,0.04,0.0010746995933427312,85,208,True
"0, 2","N28, M0P6","81.90180536330581,89.0775",0.37197594254212873,0.3252970411550139,1,309.8522835873505,49988,44388,0.02,0.0009351366025379718,129,689,True
"2, 2","M0P5, M0P6","70.8325,99.0",1.0,0.9731732485608798,4,327.9136760452424,49988,44388,0.02,0.003958584101978891,110,128,True
"1, 1, 0","N34, N58, N61","0,42.88652033416547",0.9910482100182951,0.7790329937756313,1,319.26916791715416,49983,44390,0.03,0.0009635568327093049,580,747,True
"0, 0, 0","N2, N54, N65","-7.63951760069841,36.5625",1.0,0.9009668944050446,1,304.7185478258656,49983,44418,0.03,0.0009196429480690052,3410,4237,True
"0, 0","N50, N54","0.9024999999999999,50.1875",0.9998380963694956,0.7971968232476665,1,307.88186758375366,49967,44436,0.02,0.0009638078300420857,3110,3749,True
"0, 0, 0","N11, M0P5, M0P6","71.19772643100195,87.1675",1.0,0.9103271148725128,5,371.9173587651209,49998,44440,0.03,0.0056122474114744525,211,315,True
0,N2,"0.9024999999999999,42.88652033416547",1.0,0.8675330492216982,4,287.4230781528831,49983,44490,0.01,0.003469780344144164,3837,4683,True
"0, 0, 0","N61, N65, N66","0,50.1875",1.0,0.8056594257980292,1,311.5779476583801,49983,44509,0.03,0.0009403446701301202,3322,3933,True
"0, 2, 1","N28, M0P5, M0P6","81.90180536330581,87.1675",0.8667573017354255,0.6555434843351922,1,333.3606507188432,49945,44510,0.03,0.0010060850374374747,117,341,True
"0, 0, 1, 0, 0, 0","N0, N55, N72, N95, M0P5, M0P6","71.39959694924747,87.1675",1.0,0.9462769966580532,1,383.5444695879909,49998,44536,0.06,0.0011575401932180066,70,94,True
"1, 1, 1, 2","N8, N20, N22, M0P5","79.07,87.1675",1.0,0.9592384111813336,1,326.4678787567608,49988,44585,0.04,0.0009852825980296862,44,62,True
"0, 2","N32, M0P5","70.8325,99.0",0.4652743192532097,0.553349641976668,1,327.3591836805027,49988,44595,0.02,0.000987972563223951,153,331,True
"0, 0, 0","N0, N5, M0P5","71.19772643100195,87.1675",0.09457274169648117,0.20063753830134679,1,318.1835835601957,49998,44598,0.03,0.0009602805306740858,408,1823,True
1,N1,"0,42.88652033416547",1.0,0.7980243294722383,1,290.5431582331909,49951,44610,0.01,0.0008983973803966997,732,947,True
0,N2,"0,25.965244385851314",1.0,0.9067335487539929,2,287.4230781528831,49983,44621,0.01,0.001734890172072082,3367,4588,True
"0, 1","N12, N80","81.9938065536327,87.1675",0.6050574626722139,0.3493785043007531,1,284.5287231644341,49837,44637,0.02,0.0008757078656089341,262,1495,True
"0, 0, 0, 0","N11, N86, M0P5, M0P6","76.71142888398073,81.65379754702123",0.47834896065400756,0.3756781259594998,1,395.9946380418933,49777,44642,0.04,0.0011951148984750218,53,269,True
"1, 0, 1","N20, N47, M0P6","79.07,87.1675",0.20631451102465018,0.4645207937994396,1,295.34937188695415,49945,44670,0.03,0.0008913667021925593,91,373,True
"1, 0, 0, 1","N34, N65, N84, M0P6","81.90180536330581,83.63350552020766",0.1440819872123975,0.22267473048432523,1,302.6771572657137,49497,44697,0.04,0.0009134820154763125,38,432,True
"0, 0, 1","N28, N61, N97","0,50.1875",1.0,0.7976109021907588,1,317.0746181547585,49867,44699,0.03,0.000956933664452652,1667,2010,True
0,N65,"0.9024999999999999,36.5625",1.0,0.8730804237322007,4,311.06950318431046,49983,44717,0.01,0.0039033328653808284,4395,5706,True
"0, 0","N5, N95","0.9024999999999999,50.1875",1.0,0.8028197898687028,1,301.9169381853925,49983,44717,0.02,0.0009413050758773346,3816,4552,True
0,N45,"0,56.01542047902217",0.947007056865291,0.6835557560013292,1,290.1891922472875,49967,44729,0.01,0.0008757932398935049,3916,4584,True
0,N65,"0,42.02724348807771",1.0,0.8479028039884997,2,311.06950318431046,49983,44733,0.01,0.0019516664326904142,4526,5692,True
"0, 0","N0, M0P6","71.19772643100195,87.1675",0.2569490964513821,0.18262679201865348,1,315.31373292793614,49998,44746,0.02,0.0009918446143285216,412,1864,True
"0, 1","N37, M0P6","0,36.5625",1.0,0.9450182551746605,2,296.17778943633186,49983,44748,0.02,0.0017877337456034495,2489,2847,True
"0, 0, 1, 2, 2, 1","N7, N20, N35, N64, M0P5, M0P6","81.90180536330581,87.1675",1.0,0.9981077093020838,1,346.3145474121558,49552,44752,0.06,0.0010451799984400687,7,7,True
"0, 0, 1, 0","N0, N55, N72, M0P6","71.19772643100195,87.1675",0.44128088920230696,0.4596126822865378,1,357.24839305294216,49998,44765,0.04,0.0010781784296500074,91,273,True
"0, 1, 1","N1, N20, N22","79.07,87.1675",0.12248874748567173,0.28428085457485247,1,304.6828767410195,49988,44767,0.03,0.0009195352924574163,170,968,True
0,N65,"0,25.965244385851314",1.0,0.8887169882143964,5,311.06950318431046,49983,44775,0.01,0.0048791660817260355,4010,5655,True
"1, 0, 0","N49, N54, N65","0,48.725145513595585",1.0,0.8104804834107989,2,296.26887936864176,49983,44787,0.03,0.001839995438126603,1555,1871,True
"0, 0, 0, 0","N65, N90, M0P5, M0P6","63.95139104944798,87.1675",0.9878881874016627,0.7724385915040594,1,372.956314836641,49998,44796,0.04,0.0011255850598018854,302,536,True
"0, 0, 0","N65, N66, N85","0.9024999999999999,42.88652033416547",1.0,0.8274773262907091,1,310.65574730208857,49983,44805,0.03,0.0009375614622800524,2199,2814,True
"1, 1, 1, 2","N9, N20, N22, M0P5","79.07,87.1675",1.0,0.9427136813651698,2,347.85944063640653,49945,44819,0.04,0.002099684996420459,50,75,True
"0, 0, 0","N13, M0P5, M0P6","66.09168467398428,87.1675",0.9889101283506698,0.7745750342577866,1,357.87305317872756,49998,44835,0.03,0.0010800636587695249,297,543,True
"0, 0","N37, N90","-7.63951760069841,25.902822694684037",1.0,0.8776515484446258,1,307.2081553064163,49983,44896,0.02,0.0009612662439239226,3180,4567,True
"1, 0, 0, 2, 0, 0, 0","N3, N19, N46, N68, N70, N95, M0P6","82.85047247875899,109.10946613932475",1.0,0.9991620034917175,1,332.8417165460299,49700,44900,0.07,0.0010045188900665817,14,14,True
"1, 0, 0, 2, 0","N3, N19, N55, N68, M0P6","82.85047247875899,109.10946613932475",0.1367868021165522,0.2506583513542217,1,297.761932028032,49700,44900,0.05,0.0008986478274682103,7,28,True
"2, 0","N78, M0P5","66.09168467398428,87.1675",0.09886985737765298,0.1436899102723335,1,301.7819803594888,49849,44905,0.02,0.00091078036460879,127,495,True
1,N72,"0,42.88652033416547",1.0,0.8379826523877512,1,296.12802084722017,49967,44911,0.01,0.0009194663289213776,2215,2787,True
"0, 1, 0, 0, 2","N3, N9, N54, N74, M0P5","71.28057153281134,87.1675",1.0,0.9123336271943571,1,353.6490040096863,49760,44925,0.05,0.0010673154455139752,42,65,True
"1, 1, 0, 2","N20, N22, N62, M0P5","79.07,87.1675",1.0,0.799538497842165,2,340.2553158584276,49988,44932,0.04,0.002053786380939386,93,202,True
"0, 0, 0","N0, N95, M0P5","71.19772643100195,87.1675",0.19023534339427456,0.22979519853140323,1,323.4379303436134,49998,44936,0.03,0.0009761381901456075,345,1474,True
"0, 0, 0, 0","N11, N21, M0P5, M0P6","71.19772643100195,87.1675",1.0,0.9581808882584572,2,366.6532625212372,49971,44947,0.04,0.002213124797751662,159,204,True
"0, 0, 0","N95, M0P5, M0P6","71.19772643100195,94.43870053166134",0.9967462445250105,0.7908370179811619,1,381.78318663781783,49998,44947,0.03,0.001152224627571486,268,469,True
"1, 1, 1, 2, 1","N82, N87, N96, M0P5, M0P6","81.90180536330581,87.1675",1.0,0.9980508891311213,1,345.8426468623628,49760,44960,0.05,0.0010437557989093759,7,7,True
"0, 0, 1, 0, 0","N0, N11, N17, M0P5, M0P6","63.95139104944798,87.1675",1.0,0.9356850543416803,1,398.10850444940047,49971,44977,0.05,0.0012014945637388993,93,123,True
"1, 0","N23, N33","81.90180536330581,87.1675",0.3109251612214956,0.22122094239978887,1,292.38277419336816,49988,44989,0.02,0.0008824134872729896,296,2310,True
"0, 0, 1, 2","N5, N37, N96, M0P5","81.90180536330581,99.0",0.5154820620184307,0.53118375724083,1,336.3254323283082,49988,44999,0.04,0.0010150327714010378,114,307,True
"2, 1","M0P5, M0P6","79.07,88.86247386335",0.9354210399204915,0.6569371523162989,1,339.2658504849538,49965,45012,0.02,0.0010239069762744428,145,394,True
"0, 0, 0","N0, M0P5, M0P6","63.95139104944798,87.1675",1.0,0.8061009296347503,2,359.8063786779451,49998,45049,0.03,0.0021717969003351286,329,555,True
0,N62,"-7.63951760069841,36.5625",1.0,0.865985824992483,1,301.7439360418041,49983,45054,0.01,0.0009406524236081871,4239,5537,True
0,N87,"0,42.02724348807771",1.0,0.8522821008584166,1,292.3640603746644,49983,45078,0.01,0.0009052667514338329,2914,3643,True
0,N4,"0,31.0975",1.0,0.8763666825483796,1,301.74571398063347,49983,45104,0.01,0.0009406591308997114,4100,5604,True
0,N9,"0,56.01542047902217",0.9734936714785768,0.7419369747509695,5,293.62799349281477,49981,45159,0.01,0.004430857844033042,1604,1811,True
"1, 1, 0","N9, N20, N83","79.07,87.1675",0.3427344729185295,0.27920812481917895,1,324.46528001744184,49945,45231,0.03,0.0009792387394540704,98,554,True
"0, 1","N65, N73","0,25.965244385851314",1.0,0.8501762321987301,1,314.73295656060026,49983,45235,0.02,0.0009498665115431996,917,1366,True
"0, 0, 0, 0, 0","N21, N67, N86, M0P5, M0P6","66.09168467398428,87.1675",1.0,0.908899258659517,2,388.56550474497624,49971,45240,0.05,0.002345387432771551,157,226,True
"0, 0","N11, M0P5","71.19772643100195,87.1675",0.22140649387918154,0.2724355608496649,2,305.42521189980863,49998,45240,0.02,0.0018435513314841174,260,1068,True
1,N80,"81.9938065536327,87.1675",0.465571205851222,0.276512372133625,2,289.9912700600607,49934,45260,0.01,0.0017926307537928152,326,2214,True
"1, 0, 2, 2","N9, N54, M0P5, M0P6","71.28057153281134,87.1675",1.0,0.9714816260769825,1,327.8413669256407,49950,45267,0.04,0.000989427796009195,34,41,True
"0, 1","N5, N76","0,50.1875",0.9984637926393036,0.7943737955043865,1,286.0750561017523,49967,45295,0.02,0.0008633767449980273,2032,2448,True
